trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.376s][info][gc] Allocation Stall (http-worker-118) 201.527ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.376s][info][gc] Allocation Stall (dispatch-executor-3) 2144.898ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.376s][info][gc] Allocation Stall (query-management-4) 2145.585ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.376s][info][gc] Allocation Stall (statement-timeout-2) 2207.582ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.376s][info][gc] Allocation Stall (dispatcher-query-247) 2205.831ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.376s][info][gc] Allocation Stall (http-worker-121) 167.360ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.376s][info][gc] Allocation Stall (dispatch-executor-2) 2135.672ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.376s][info][gc] Allocation Stall (query-management-2) 2129.156ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.376s][info][gc] Allocation Stall (dispatch-executor-1) 2184.537ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.376s][info][gc] Allocation Stall (http-worker-520) 1681.008ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.376s][info][gc] Allocation Stall (http-worker-341) 2002.760ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.377s][info][gc] Allocation Stall (Query-20220812_114354_14959_ptaua-625) 1895.682ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.377s][info][gc] Allocation Stall (execution-query-purger) 2090.775ms
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | 2022-08-12T11:43:56.104Z	INFO	dispatcher-query-247	io.trino.event.QueryMonitor	TIMELINE: Query 20220812_114353_14954_ptaua :: Transaction:[a9b50629-543d-4341-a932-1cca380c8b03] :: elapsed 36ms :: planning 6ms :: waiting 0ms :: scheduling 2ms :: running 15ms :: finishing 13ms :: begin 2022-08-12T11:43:53.857Z :: end 2022-08-12T11:43:53.893Z
trino_test_trino-coordinator.1.ljc8l0l1ysgx@jp    | [754.380s][info][gc] Allocation Stall (drain-state-query-manager) 1893.720ms
